ABN AMRO Clearing Chicago LLC
ADM Investor Services Inc.
Advantage Futures LLC
Bank of Montreal
Barclays Capital Inc.
BMO Capital Markets Corp.
BNP Paribas
BNP Paribas Securities Corp.
BOCI Commodities and Futures (USA) LLC
BP Energy Company
BP Products North America Inc.
Bunge Chicago Inc.
Cantor Fitzgerald & Co.
China Merchants Futures (HK) Co. Limited +
CHS Hedging LLC
CIBC World Markets Corp. +
Citigroup Global Markets Inc.
Credit Agricole Corporate and Investment Bank
Credit Suisse Securities (USA) LLC
Credit Suisse International
Cunningham Commodities LLC
Daiwa Capital Markets America Inc.
Deutsche Bank AG
Deutsche Bank Securities Inc.
Dorman Trading L.L.C.
E D & F Man Capital Markets Inc.
Eagle Market Makers Inc.
EFL Futures Limited
G.H. Financials LLC
Gelber Group LLC
Goldman Sachs & Co. LLC
HSBC Securities (USA) Inc.
Interactive Brokers LLC
INTL FCStone Financial Inc.
Jump Trading Futures LLC
J.P. Morgan Securities LLC
Macquarie Futures USA LLC
Marex North America LLC
Merrill Lynch Pierce Fenner & Smith Inc.
Mizuho Securities USA LLC
Morgan Stanley & Co. LLC
Nanhua USA LLC
Nomura Securities International Inc.
Phillip Capital Inc.
Proxima Clearing LLC
Rabo Securities USA Inc.
Rand Financial Services Inc.
RBC Capital Markets LLC
RBS Securities Inc.
RDG Trading
R.J. O'Brien & Associates LLC
Ronin Capital LLC
Rosenthal Collins Group L.L.C.
Royal Bank of Canada
Santander Investment Securities Inc.
Scotia Capital (USA) Inc.
SG Americas Securities LLC
Societe Generale
Straits Financial LLC
Term Commodities Inc.
The Bank of Nova Scotia
The Royal Bank of Scotland Plc
The Toronto-Dominion Bank
TradeStation Securities Inc.
UBS Securities LLC
UOBBF Clearing Limited
Wedbush Securities Inc.
Wells Fargo Securities LLC
